,M,D,O,n,Fvco,Fpfd,Fref,Fout,Fout (MHz),delay,delay (ps),stability metric
351,130,1,13,66,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,3.653846153846154e-09,3653.846153846154,0.8625076208038536
590,160,1,16,81,1600000000.0,62500.0,10000000,100000000.0,100.0,3.6718750000000004e-09,3671.8750000000005,1.0512720920988259
589,160,1,16,80,1600000000.0,62500.0,10000000,100000000.0,100.0,3.7500000000000005e-09,3750.0000000000005,1.0512720920988259
588,160,1,16,79,1600000000.0,62500.0,10000000,100000000.0,100.0,3.8281250000000006e-09,3828.1250000000005,1.0512720920988259
349,130,1,13,64,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,3.846153846153846e-09,3846.153846153846,0.8625076208038536
208,110,1,11,54,1100000000.0,90909.09090909091,10000000,100000000.0,100.0,3.863636363636364e-09,3863.6363636363644,0.7380605096957837
114,90,1,9,44,900000000.0,111111.11111111111,10000000,100000000.0,100.0,3.888888888888889e-09,3888.888888888889,0.6155986355729506
587,160,1,16,78,1600000000.0,62500.0,10000000,100000000.0,100.0,3.90625e-09,3906.25,1.0512720920988259
412,140,1,14,68,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,3.928571428571429e-09,3928.571428571429,0.9252097602739726
348,130,1,13,63,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,3.942307692307692e-09,3942.3076923076924,0.8625076208038536
207,110,1,11,53,1100000000.0,90909.09090909091,10000000,100000000.0,100.0,3.977272727272728e-09,3977.272727272728,0.7380605096957837
586,160,1,16,77,1600000000.0,62500.0,10000000,100000000.0,100.0,3.984375e-09,3984.375,1.0512720920988259
513,150,1,15,72,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,4e-09,4000.0000000000005,0.988145874103066
347,130,1,13,62,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,4.038461538461539e-09,4038.461538461539,0.8625076208038536
585,160,1,16,76,1600000000.0,62500.0,10000000,100000000.0,100.0,4.0625e-09,4062.5,1.0512720920988259
512,150,1,15,71,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,4.0833333333333335e-09,4083.3333333333335,0.988145874103066
410,140,1,14,66,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,4.107142857142858e-09,4107.142857142858,0.9252097602739726
346,130,1,13,61,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,4.1346153846153845e-09,4134.615384615385,0.8625076208038536
584,160,1,16,75,1600000000.0,62500.0,10000000,100000000.0,100.0,4.140625e-09,4140.625,1.0512720920988259
511,150,1,15,70,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,4.166666666666667e-09,4166.666666666667,0.988145874103066
409,140,1,14,65,1400000000.0,71428.57142857143,10000000,100000000.0,100.0,4.196428571428571e-09,4196.428571428572,0.9252097602739726
583,160,1,16,74,1600000000.0,62500.0,10000000,100000000.0,100.0,4.21875e-09,4218.75,1.0512720920988259
345,130,1,13,60,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,4.230769230769231e-09,4230.769230769231,0.8625076208038536
510,150,1,15,69,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,4.25e-09,4250.0,0.988145874103066
258,120,1,12,55,1200000000.0,83333.33333333333,10000000,100000000.0,100.0,4.2708333333333335e-09,4270.833333333334,0.8000979492824527
582,160,1,16,73,1600000000.0,62500.0,10000000,100000000.0,100.0,4.296875e-09,4296.875,1.0512720920988259
204,110,1,11,50,1100000000.0,90909.09090909091,10000000,100000000.0,100.0,4.318181818181818e-09,4318.181818181818,0.7380605096957837
509,150,1,15,68,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,4.333333333333333e-09,4333.333333333333,0.988145874103066
581,160,1,16,72,1600000000.0,62500.0,10000000,100000000.0,100.0,4.375e-09,4375.0,1.0512720920988259
508,150,1,15,67,1500000000.0,66666.66666666667,10000000,100000000.0,100.0,4.4166666666666665e-09,4416.666666666667,0.988145874103066
343,130,1,13,58,1300000000.0,76923.07692307692,10000000,100000000.0,100.0,4.423076923076924e-09,4423.076923076924,0.8625076208038536
580,160,1,16,71,1600000000.0,62500.0,10000000,100000000.0,100.0,4.453125e-09,4453.125000000001,1.0512720920988259
